Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.002529529755053421,0.9414533333333334,"tensor(4.9715e-06, device='cuda:0')",0.9559
2,0.0017069425188625852,0.9611133333333334,"tensor(4.3211e-06, device='cuda:0')",0.96228
3,0.0014164036532429358,0.9678066666666667,"tensor(4.4207e-06, device='cuda:0')",0.9645
4,0.0012219798450979094,0.9721066666666667,"tensor(2.8635e-06, device='cuda:0')",0.9631
5,0.00107480931091588,0.9751933333333334,"tensor(3.9366e-06, device='cuda:0')",0.96912
6,0.0009702429810259491,0.97734,"tensor(5.5734e-06, device='cuda:0')",0.96892
1,0.00485335544599841,0.94382,"tensor(2.1142e-06, device='cuda:0')",0.95732
2,0.003228793305821406,0.9632066666666667,"tensor(1.2936e-06, device='cuda:0')",0.96236
3,0.002666375451377438,0.9691466666666667,"tensor(2.4402e-06, device='cuda:0')",0.96724
4,0.002302400106976274,0.9735866666666667,"tensor(4.5113e-06, device='cuda:0')",0.96832
5,0.002082967272668999,0.97592,"tensor(2.7281e-06, device='cuda:0')",0.96998
6,0.001825019083552567,0.97914,"tensor(5.0172e-07, device='cuda:0')",0.97142
7,0.0017014251967534073,0.98024,"tensor(7.9575e-06, device='cuda:0')",0.97058
8,0.0015778821974326274,0.9818533333333334,"tensor(2.8225e-06, device='cuda:0')",0.97016
9,0.001449413788136056,0.9833333333333333,"tensor(1.8356e-06, device='cuda:0')",0.97108
10,0.0013769009197461613,0.98384,"tensor(1.9378e-06, device='cuda:0')",0.97142
11,0.0012847652821376201,0.9845733333333333,"tensor(4.3610e-06, device='cuda:0')",0.97142
12,0.0012442285737304095,0.98564,"tensor(6.2246e-06, device='cuda:0')",0.9712
13,0.001153417291837395,0.9868,"tensor(2.3390e-06, device='cuda:0')",0.97222
14,0.0010542764228632343,0.9873733333333333,"tensor(9.0486e-07, device='cuda:0')",0.97246
15,0.0010263419702469401,0.988,"tensor(7.3082e-07, device='cuda:0')",0.97192
16,0.0009685173346552135,0.9884533333333333,"tensor(4.4540e-07, device='cuda:0')",0.9718
17,0.000964780391977838,0.98858,"tensor(9.7752e-07, device='cuda:0')",0.97248
18,0.0008745832955577862,0.9896866666666667,"tensor(8.0389e-07, device='cuda:0')",0.9728
19,0.0008529350741984187,0.98984,"tensor(1.1628e-06, device='cuda:0')",0.97282
20,0.0008238606042583342,0.99032,"tensor(1.7245e-06, device='cuda:0')",0.97268
21,0.0007973233756446765,0.9904933333333333,"tensor(2.2561e-06, device='cuda:0')",0.97304
22,0.0007850214373119039,0.9907733333333333,"tensor(1.3580e-06, device='cuda:0')",0.97314
23,0.0007400784684011705,0.99126,"tensor(6.0697e-06, device='cuda:0')",0.9726
24,0.0007240280257468718,0.9915333333333334,"tensor(5.3732e-07, device='cuda:0')",0.97258
25,0.000683921378333198,0.9920533333333333,"tensor(1.6820e-06, device='cuda:0')",0.9732
